readed data
Epoch 62 Train cost: 4.36286421953Train mae: 3.65166899052 Validation cost: 4.2257703583 Validation mae 3.50329504577,counter 1 __best__ 
Epoch 63 Train cost: 4.313538795 Validation cost: 4.36271618116,counter 1
Epoch 64 Train cost: 4.27569653099Train mae: 3.52716482699 Validation cost: 4.11422050011 Validation mae 3.35857828023,counter 1 __best__ 
Epoch 65 Train cost: 4.24385585832 Validation cost: 4.4164758046,counter 1
Epoch 66 Train cost: 4.21879055517Train mae: 3.44244449495 Validation cost: 4.08428455586 Validation mae 3.30028438704,counter 1 __best__ 
Epoch 67 Train cost: 4.19464737565Train mae: 3.40487398476 Validation cost: 4.07108896773 Validation mae 3.27548792081,counter 0 __best__ 
Epoch 68 Train cost: 4.16875763453 Validation cost: 4.20581650239,counter 1
Epoch 69 Train cost: 4.14093788379 Validation cost: 4.15504432424,counter 2
Epoch 70 Train cost: 4.12527790327 Validation cost: 4.18763075849,counter 3
Epoch 71 Train cost: 4.10612944986Train mae: 3.27358744515 Validation cost: 3.94247728086 Validation mae 3.10568736187,counter 3 __best__ 
Epoch 72 Train cost: 4.08406101276 Validation cost: 4.1032663991,counter 1
Epoch 73 Train cost: 4.06416100563 Validation cost: 4.04826724867,counter 2
Epoch 74 Train cost: 4.05037761367 Validation cost: 3.98060665811,counter 3
Epoch 75 Train cost: 4.03095953807Train mae: 3.16718821885 Validation cost: 3.8568581766 Validation mae 2.99048749099,counter 3 __best__ 
Epoch 76 Train cost: 4.01816731401 Validation cost: 4.08433386626,counter 1
Epoch 77 Train cost: 4.00117255206Train mae: 3.12341089942 Validation cost: 3.83656099786 Validation mae 2.95555981309,counter 1 __best__ 
Epoch 78 Train cost: 3.9827193266 Validation cost: 4.06972333486,counter 1
Epoch 79 Train cost: 3.97021704112 Validation cost: 3.87542882388,counter 2
Epoch 80 Train cost: 3.95740565019 Validation cost: 3.93817659387,counter 3
Epoch 81 Train cost: 3.93745883668Train mae: 3.03264703738 Validation cost: 3.75559395161 Validation mae 2.84783362214,counter 3 __best__ 
Epoch 82 Train cost: 3.92886492771 Validation cost: 3.812210757,counter 1
Epoch 83 Train cost: 3.90230646921 Validation cost: 4.00140367465,counter 2
Epoch 84 Train cost: 3.90640514509 Validation cost: 3.93173195895,counter 3
Epoch 85 Train cost: 3.88492482287 Validation cost: 3.79914704695,counter 4
Epoch 86 Train cost: 3.88281615941 Validation cost: 3.83250763637,counter 5
Epoch 87 Train cost: 3.86715575635 Validation cost: 3.85083789774,counter 6
Epoch 88 Train cost: 3.85976024908 Validation cost: 3.93112079518,counter 7
Epoch 89 Train cost: 3.85681935886 Validation cost: 3.98730234106,counter 8
Epoch 90 Train cost: 3.84522704712 Validation cost: 3.99366096956,counter 9
Epoch 91 Train cost: 3.84034358033 Validation cost: 4.00770991792,counter 10
Epoch 92 Train cost: 3.82787398779Train mae: 2.87338903291 Validation cost: 3.77305931586 Validation mae 2.81820755645,counter 10 __best__ 
Epoch 93 Train cost: 3.82835106327Train mae: 2.87160864121 Validation cost: 3.75376123921 Validation mae 2.79615163664,counter 0 __best__ 
Epoch 94 Train cost: 3.81906979831 Validation cost: 3.78713540171,counter 1
Epoch 95 Train cost: 3.8187612283Train mae: 2.85726454664 Validation cost: 3.62579896153 Validation mae 2.66362586345,counter 1 __best__ 
Epoch 96 Train cost: 3.81047658794 Validation cost: 3.73522659832,counter 1
Epoch 97 Train cost: 3.80595068588 Validation cost: 3.75532011069,counter 2
Epoch 98 Train cost: 3.80438471431 Validation cost: 3.70762177127,counter 3
Epoch 99 Train cost: 3.79656135968 Validation cost: 3.65305003914,counter 4
Epoch 100 Train cost: 3.79083166112 Validation cost: 3.68648514426,counter 5
Epoch 101 Train cost: 3.7933386908 Validation cost: 3.84183841271,counter 6
Epoch 102 Train cost: 3.78443445053 Validation cost: 3.91084610615,counter 7
Epoch 103 Train cost: 3.78243260155 Validation cost: 3.73937132446,counter 8
Epoch 104 Train cost: 3.78241272315 Validation cost: 3.68620867209,counter 9
Epoch 105 Train cost: 3.77943568815 Validation cost: 3.67560541277,counter 10
Epoch 106 Train cost: 3.77348051522 Validation cost: 3.71843097721,counter 11
Epoch 107 Train cost: 3.77133554061 Validation cost: 3.90659717275,counter 12
Epoch 108 Train cost: 3.76655535496 Validation cost: 3.80216503921,counter 13
Epoch 109 Train cost: 3.7637641949 Validation cost: 3.92776993442,counter 14
Epoch 110 Train cost: 3.7655711347 Validation cost: 3.67871714111,counter 15
Epoch 111 Train cost: 3.75865242382 Validation cost: 3.68656950859,counter 16
Epoch 112 Train cost: 3.75182720956 Validation cost: 3.67575216641,counter 17
Epoch 113 Train cost: 3.75475727039 Validation cost: 3.9226095903,counter 18
Epoch 114 Train cost: 3.75445989412Train mae: 2.76702474774 Validation cost: 3.64945323437 Validation mae 2.66002386459,counter 18 __best__ 
Epoch 115 Train cost: 3.74548583059 Validation cost: 3.6777720431,counter 1
